rank,team,rating,average_rank,average_rating,one_year_change_rank,one_year_change_rating,matches_total,matches_home,matches_away,matches_neutral,wins,losses,draws,goals_for,goals_against
1,Spain,2157,7,1946,0,0,782,341,302,139,462,138,182,1595,699
2,Argentina,2115,5,1987,0,-17,1111,381,419,311,612,228,271,2117,1136
3,France,2063,16,1795,0,8,940,475,341,124,475,270,195,1710,1275
4,England,2021,4,1983,2,37,1161,509,524,128,684,215,262,2720,1118
5,Brazil,1991,4,1998,0,-10,1067,373,346,348,672,172,223,2302,957
6,Portugal,1986,19,1797,-2,-44,695,321,262,112,347,189,159,1224,780
7,Colombia,1982,48,1621,1,32,650,185,229,236,267,205,178,847,742
8,Netherlands,1948,15,1848,-1,-27,903,430,358,115,466,240,197,1894,1144
9,Ecuador,1938,64,1525,2,33,600,183,211,206,185,254,161,724,904
10,Germany,1932,8,1911,0,19,1047,470,416,161,606,224,217,2358,1233
11,Norway,1914,38,1623,3,48,888,426,409,53,335,355,198,1377,1445
12,Croatia,1912,12,1881,-3,-15,400,158,167,75,210,84,106,696,404
13,Turkey,1911,43,1610,9,75,670,290,300,80,264,250,156,950,970
14,Japan,1906,61,1467,2,49,836,332,207,297,409,257,170,1518,985
15,Belgium,1894,24,1755,2,47,878,416,376,86,392,302,184,1606,1359
16,Uruguay,1892,12,1876,-4,-9,1019,336,432,251,446,321,252,1610,1254
17,Switzerland,1891,27,1689,1,46,896,426,391,79,319,373,204,1338,1484
18,Mexico,1875,20,1783,6,62,1029,297,273,459,535,257,237,1829,1054
19,Denmark,1869,20,1799,-4,4,905,414,396,95,420,298,187,1652,1221
19,Italy,1869,8,1915,-6,-13,903,407,325,171,481,177,245,1581,894
21,Senegal,1860,56,1591,8,75,706,221,260,225,319,193,194,969,672
22,Paraguay,1834,23,1755,1,9,789,215,365,209,277,303,209,1006,1115
23,Austria,1830,20,1810,-5,-15,866,432,383,51,371,310,185,1561,1321
24,Morocco,1827,43,1657,1,15,730,319,219,192,365,165,200,1108,615
25,Canada,1788,49,1599,4,3,490,154,200,136,190,185,115,629,624
26,Scotland,1782,14,1879,14,65,869,403,413,53,413,268,188,1503,1076
27,Ukraine,1780,31,1745,0,-19,340,134,146,60,154,91,95,478,358
28,Australia,1777,35,1672,3,2,637,271,223,143,326,180,131,1290,716
29,Iran,1772,40,1658,-3,-29,670,223,195,252,384,132,154,1275,525
